id;time_of_message;game_event_id;event_type;team;active;time_of_event_occurence
1;2020-10-27T00:21:22;6118;GOAL;AWAY;true;2020-10-27T01:10:31
2;2020-10-27T02:17:04;70765;YELLOW_CARD;HOME;true;2020-10-26T22:35:14
3;2020-10-27T15:00:16;6534;YELLOW_CARD;AWAY;false;2020-10-26T17:37:00
4;2020-10-27T03:38:46;50762;GOAL;AWAY;true;2020-10-26T20:11:39
5;2020-10-27T07:15:38;50269;YELLOW_CARD;AWAY;false;2020-10-27T12:35:26
6;2020-10-26T23:01:04;22622;YELLOW_CARD;AWAY;true;2020-10-27T10:01:18
7;2020-10-26T18:25:48;21247;CORNER;HOME;true;2020-10-27T12:08:22
8;2020-10-27T08:07:01;9022;YELLOW_CARD;HOME;false;2020-10-26T22:23:16
9;2020-10-27T05:17:14;35164;RED_CARD;AWAY;true;2020-10-27T04:13:47
10;2020-10-26T21:33:51;27184;YELLOW_CARD;HOME;true;2020-10-27T14:49:50
