id;time_of_message;opportunity_id;type;handicap;line;sequence;trading_status;actual_trading_time;note;bet_stop;results
1;2020-10-26T19:21:21;45954;high-level;Cedi generating;Fiji Dollar Rustic Steel Tuna;virtual Intelligent Concrete Shoes Bedfordshire;88299;2020-10-27T02:30:12;Sports override;40531;Officer Rustic Keyboard
2;2020-10-27T00:53:09;39312;Assistant Designer;Baby driver indigo;Texas;Prairie quantifying;20376;2020-10-27T08:05:43;Soft Games SAS;69529;cohesive e-commerce Small Plastic Pants
3;2020-10-26T21:08:12;15219;payment;South Dakota Manager;sensor Balanced;1080p Program Virtual;66067;2020-10-26T18:50:27;Fantastic Steel Computer Associate;33248;hard drive
4;2020-10-27T08:03:55;48977;overriding functionalities Ohio;invoice homogeneous;payment Syrian Arab Republic;JSON TCP;619;2020-10-26T20:48:02;Riel SSL;82896;Washington visualize Brunei Dollar
5;2020-10-27T08:12:35;89783;New Hampshire;Officer cyan silver;Frozen Square;Washington throughput;2537;2020-10-26T17:48:30;GB Applications;68214;GB
6;2020-10-27T04:47:45;7043;Concrete bluetooth haptic;Awesome Cook Islands;local;Kids transmit;8229;2020-10-27T16:21:04;interface software;13145;SDD Face to face
7;2020-10-27T09:49:12;6847;national dynamic HDD;Hat;Intelligent;Ergonomic;45495;2020-10-26T17:35:27;eco-centric Personal Loan Account;55665;Rustic Plastic Mouse
8;2020-10-27T00:17:41;13006;Licensed;extensible;Dam;niches;78789;2020-10-27T01:01:39;Home Bond Markets Units European Composite Unit (EURCO) Money Market Account;67556;Principal
9;2020-10-27T03:22:11;38963;Metal Creek Self-enabling;Soft overriding;Music;incremental Shoes;69896;2020-10-27T13:33:53;Cambridgeshire Berkshire client-server;82961;neural
10;2020-10-26T21:11:57;35318;Zimbabwe Dollar Plastic payment;payment Coordinator Sleek Fresh Chair;mobile;Rubber;61284;2020-10-27T11:59:12;Keyboard Buckinghamshire;59449;eco-centric bluetooth Car
