id;time_of_message;game_part;score;score_part;hidden;hide_timer;remaining_time_in_period;relative_player_count
1;2020-10-27T01:51:30;innovative;black Chips;calculate Executive partnerships;true;true;13834;87800
2;2020-10-27T14:21:19;virtual e-services turquoise;Madagascar Grass-roots;best-of-breed payment;false;true;6627;38895
3;2020-10-27T11:30:50;matrix;Security frictionless cultivate;help-desk SAS;true;false;80654;98278
4;2020-10-26T19:27:28;challenge Handcrafted Cotton Hat;Lead Borders;blue;true;true;82753;77580
5;2020-10-27T07:30:32;ADP Intelligent Steel Towels Division;Hat Computers Handcrafted Metal Pizza;parsing Grocery Director;true;false;58474;11710
6;2020-10-27T06:56:26;teal;customized;Factors back up Toys;false;false;85029;14599
7;2020-10-27T09:13:09;orchid enterprise Grocery;haptic reinvent Frozen;Fresh Japan;true;false;24905;41034
8;2020-10-27T07:15:21;Lead Garden;overriding;Group De-engineered;false;false;72781;56516
9;2020-10-27T15:05:23;Pennsylvania Orchestrator Assistant;Beauty;fuchsia;true;false;71711;56521
10;2020-10-27T03:46:02;Dong challenge;index Nebraska Buckinghamshire;e-tailers Villages Savings Account;true;true;5179;61956
